Id,Price
725,159315.48771780333
15856,177729.06329677824
5480,305863.59660520294
15664,328872.7191122178
14275,131203.57323270393
7633,218815.14551747913
13329,177276.24231001703
5502,225238.53992791194
4220,299072.62197743234
11538,202556.73647384744
15975,272538.03495577164
3310,224529.05277511425
9286,152130.4862846925
11260,180960.19292783874
5214,113310.62413659957
11307,188674.96254143637
13543,367487.76103782345
615,184004.20301963334
3495,199975.01866025393
2321,237407.8123077641
12046,193888.1693986833
16688,152440.13907456768
12694,219903.24479284725
783,149148.56371683325
8968,165812.49786553206
13454,179304.14759484516
12190,277123.23651280656
11160,136022.93959193572
10291,202031.56099109648
891,270374.08555559075
2982,179137.1138742637
3818,282964.1327668049
2449,180397.96671729742
8317,167358.30242652385
4922,185328.80987226727
1257,236898.00956500752
9348,214609.12910732196
4176,202676.63774166282
10704,182657.43284665112
6624,123266.50027046412
5428,191139.03502033654
12749,173452.07548740433
8994,203247.9755676233
11513,149130.9942411223
3047,172885.03093238172
9519,203269.49691962043
12309,287113.5818134278
14081,269306.25857754715
8334,253468.6066692784
6343,184523.7422449488
14788,132248.6764837457
15748,357262.6083422187
153,241167.7143604447
14149,194665.60578192052
269,195979.31068427395
5452,134727.7148647229
721,173011.15212981528
5079,340090.63078530977
2831,128412.9754435505
10614,125815.9542792708
10131,258595.9388922932
9996,298279.5942673351
3061,278087.03038476204
11733,320522.768882064
3726,269268.6054977644
10929,221369.75409874035
9011,181562.83327125822
16182,292067.17494849715
4976,186668.32616441796
9897,241419.1699374955
1872,188712.77000861045
9205,363295.72813758266
5403,377047.1485856285
14074,207662.16597048505
6268,155740.2950601334
14232,169323.575976178
8532,244527.7651835648
7034,299022.67636382085
6553,436752.4779001548
3133,174962.36871869455
8596,203345.93787962745
12389,237486.0869863366
14462,179214.71312111418
8860,321313.28544846445
8377,283889.1091119713
6367,326836.82225554355
6917,256142.87193039383
4216,197589.79085623202
5806,180779.51073469847
5438,184736.41823145174
6632,194530.73498140788
2650,153986.28522136153
5396,211520.24305976415
4044,155686.7997259981
